tablica wyjściowa : [3,8,1,2,5,13,20,4,9]

1) sortowanie przez wstawianie
	0. 3|8,1,2,5,13,20,4,9
	1. 3,8|1,2,5,13,20,4,9
	2. 1,3,8|2,5,13,20,4,9
	3. 1,2,3,8|5,13,20,4,9
	4. 1,2,3,5,8|13,20,4,9
	5. 1,2,3,5,8,13|20,4,9
	6. 1,2,3,5,8,13,20|4,9
	7. 1,2,3,4,5,8,13,20|9
	8. 1,2,3,4,5,8,9,13,20|

2) sortowanie bąbelkowe
	0. 3,8,1,2,5,13,20,4,9
	1. 3,1,2,5,8,13,4,9,20
	2. 1,2,3,5,8,4,9,13,20
	3. 1,2,3,5,4,8,9,13,20
	4. 1,2,3,4,5,8,9,13,20
	5. 1,2,3,4,5,8,9,13,20
	6. 1,2,3,4,5,8,9,13,20
	7. 1,2,3,4,5,8,9,13,20
	8. 1,2,3,4,5,8,9,13,20
